ClearSkies
Q values
1empty,up,-0.0408798235497
1empty,down,-0.0494774467939
1empty,stay,-0.055243597556
1good,up,0.05
1good,down,0.05
1good,stay,0.05
1bad,up,0.05
1bad,down,0.05
1bad,stay,0.05
2empty,up,-0.0550304391605
2empty,down,-0.0549119169411
2empty,stay,-0.0547901197912
2good,up,0.05
2good,down,0.05
2good,stay,0.05
2bad,up,0.05
2bad,down,0.05
2bad,stay,0.05
3empty,up,-0.0621558129741
3empty,down,-0.0579835877826
3empty,stay,-0.0579545042985
3good,up,0.05
3good,down,0.05
3good,stay,0.05
3bad,up,0.05
3bad,down,0.05
3bad,stay,0.05
4empty,up,-0.070507631188
4empty,down,-0.0449963249511
4empty,stay,-0.0596026895415
4good,up,0.05
4good,down,0.05
4good,stay,0.05
4bad,up,0.05
4bad,down,0.05
4bad,stay,0.05
5empty,up,-0.0624778585302
5empty,down,-0.03
5empty,stay,-0.0449946095752
5good,up,0.05
5good,down,0.05
5good,stay,0.05
5bad,up,0.05
5bad,down,0.05
5bad,stay,0.05
6empty,up,-0.0449999999999
6empty,down,-0.02
6empty,stay,-0.03
6good,up,0.05
6good,down,0.05
6good,stay,0.05
6bad,up,0.05
6bad,down,0.05
6bad,stay,0.05
7empty,up,-0.03
7empty,down,-0.02
7empty,stay,-0.02
7good,up,0.05
7good,down,0.05
7good,stay,0.05
7bad,up,0.05
7bad,down,0.05
7bad,stay,0.05
Best policy
1empty,up
1good,up
1bad,up
2empty,stay
2good,up
2bad,up
3empty,stay
3good,up
3bad,up
4empty,down
4good,up
4bad,up
5empty,down
5good,up
5bad,up
6empty,down
6good,up
6bad,up
7empty,down
7good,up
7bad,up
